,,,Solid,Solid,Solid,Solid,Solid,Solid,Solid,Solid,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solid,Solid,Solid,Solution,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer
Experiment,,,B/Ca (umol/mol),B/Ca_2std (umol/mol),d11B (permil vs NIST951),d11B_2std (permil vs NIST951),logR,logR_2std,logR_unit,seeds,Temp (°C),[B] (M),[Ca] (M),[Cl] (M),[DIC] (M),[Mg] (M),[Na] (M),d11B (permil vs NIST951),d11B_2std (permil vs NIST951),ionstr,pH (NBS),B/Ca_eprop (umol/mol),d11B_eprop (permil vs NIST951),logR_eprop,d11B_eprop (permil vs NIST951),Alk(eq/kgw),B,C,Ca,Cl,K,Mg,Na,S(6),dist_x,m_B(OH)3,m_B(OH)4-,m_B3O3(OH)4-,m_B4O5(OH)4-2,m_CO2,m_CO3-2,m_CaB(OH)4+,m_CaCO3,m_CaH2BO3+,m_CaHCO3+,m_H+,m_H2BO3-,m_H2CO3,m_H3BO3,m_H5(BO3)2-,m_H8(BO3)3-,m_HCO3-,m_NaCO3-,m_NaH2BO3,m_NaHCO3,m_OH-,mu,pH,pe,si_Aragonite,si_Calcite,sim,soln,state,step,temp(C),time
CaB-45(s),Noireaux,Calcite,1462.93,29.26,-12.3,0.4,-7.01,,mol/m2/sec,True,25,0.0159,0.000244,0.2,0.004070000000000001,0.0,0.2,-0.8,0.4,0.2,8.72,1463+/-29,-12.3+/-0.4,-7.01+/-nan,-0.8+/-0.4,0.009620891814548107,0.01609504891674194,0.0041199276158235265,0.00024699320351061974,0.2024534454941611,0.0,0.0,0.20245344549455926,0.0,-99.0,0.010838021924174341,0.005124162484078274,3.699019320628945e-05,1.9186782487937836e-06,1.2494555070927513e-05,0.00032668747388324177,1.4219215875279484e-05,0.0,0.0,0.0,2.414160873215005e-09,0.0,0.0,0.0,0.0,0.0,0.0037807455868693568,0.0,0.0,0.0,7.5644444157090706e-06,0.20805804794235988,8.72,4.0,-0.07048043925980707,0.2114944142701276,1,1,i_soln,-99,25.0,-99.0
CaB-46,Noireaux,Calcite,222.22,4.44,-13.1,0.2,-5.47,,mol/m2/sec,False,25,0.0163,0.000306,0.2,0.00328,0.0,0.2,-0.8,0.4,0.2,8.64,222+/-4,-13.10+/-0.20,-5.47+/-nan,-0.8+/-0.4,0.00821188082072528,0.016499264423467448,0.0033200973809368478,0.00030974079225247117,0.20244496225160113,0.0,0.0,0.20244496225201067,0.0,-99.0,0.011741080528064355,0.004617315340535637,3.91336688889766e-05,1.8245131255482373e-06,1.2273330911511804e-05,0.00022149972272164878,1.616949569833223e-05,0.0,0.0,0.0,2.897284125456186e-09,0.0,0.0,0.0,0.0,0.0,0.0030863243273036873,0.0,0.0,0.0,6.292413888380543e-06,0.20736137238770258,8.64,4.0,-0.13642058819823433,0.14555426533170035,1,1,i_soln,-99,25.0,-99.0
CaB-47(s),Noireaux,Calcite,509.25,10.18,-15.5,0.2,-7.41,,mol/m2/sec,True,25,0.0177,0.00106,0.1,0.0015400000000000001,0.0,0.1,-0.8,0.4,0.1,8.34,509+/-10,-15.50+/-0.20,-7.41+/-nan,-0.8+/-0.4,0.004296804488264996,0.01780992412006389,0.0015495640194894773,0.0010665830264088116,0.10062104022643759,0.0,0.0,0.10062104022657518,0.0,-99.0,0.015025122852971293,0.0026379814273306047,3.427249295576321e-05,7.431763873544903e-07,1.3111465164431161e-05,4.264906947317966e-05,4.102965534528224e-05,0.0,0.0,0.0,5.66018057080722e-09,0.0,0.0,0.0,0.0,0.0,0.0014938034848518665,0.0,0.0,0.0,2.9385962409815892e-06,0.10486394711864465,8.34,4.0,-0.0886200433198514,0.19335481021008327,1,1,i_soln,-99,25.0,-99.0
CaB-48(s),Noireaux,Calcite,111.11,2.22,-15.1,0.2,-7.37,,mol/m2/sec,True,25,0.005679999999999999,0.000699,0.1,0.00212,0.0,0.1,-0.8,0.4,0.1,8.47,111.1+/-2.2,-15.10+/-0.20,-7.37+/-nan,-0.8+/-0.4,0.003302983657939914,0.005714648239240598,0.002132932089299025,0.0007032639294468607,0.10061000421206641,0.0,0.0,0.10061000421212829,0.0,-99.0,0.004610700933090667,0.001088438525549494,1.3257999043911917e-06,1.1878345437141546e-08,1.3330531150478268e-05,7.816608124613955e-05,1.1483867505513852e-05,0.0,0.0,0.0,4.2020727124706835e-09,0.0,0.0,0.0,0.0,0.0,0.002041435476902407,0.0,0.0,0.0,3.948270967666964e-06,0.10372323832648167,8.47,4.0,0.007911636396880084,0.28988648992681476,1,1,i_soln,-99,25.0,-99.0
CaB-53(s),Noireaux,Calcite,351.84,7.04,-16.6,0.6,-7.48,,mol/m2/sec,True,25,0.0163,0.00513,0.1,0.00389,0.0,0.1,-0.8,0.4,0.11,7.4,352+/-7,-16.6+/-0.6,-7.48+/-nan,-0.8+/-0.4,0.004012568990551193,0.016406039744549916,0.0039153064175653715,0.0051633732447654256,0.10065055058004953,0.0,0.0,0.10065055058009384,0.0,-99.0,0.016037504358303985,0.00032894438435129587,4.864500311293346e-06,1.3397478907149151e-08,0.00027425960973360053,1.2446094295054526e-05,2.4943911045123946e-05,0.0,0.0,0.0,4.96164002527482e-08,0.0,0.0,0.0,0.0,0.0,0.0036286007135367163,0.0,0.0,0.0,3.461141590933215e-07,0.11294620285093583,7.4,4.0,0.04521684153304406,0.32719169506297874,1,1,i_soln,-99,25.0,-99.0
CaB-54(s),Noireaux,Calcite,212.96,4.26,-14.8,0.7,-7.49,,mol/m2/sec,True,25,0.00547,0.004529999999999999,0.1,0.0036799999999999997,0.0,0.1,-0.8,0.4,0.11,7.41,213+/-4,-14.8+/-0.7,-7.49+/-nan,-0.8+/-0.4,0.003581144211918231,0.005504732236790418,0.0037033664854682936,0.004558763667188385,0.10063495865592904,0.0,0.0,0.10063495879595061,0.0,-99.0,0.005384055223892241,0.0001125202247102431,1.866806278516146e-07,1.759673378339932e-10,0.000254785206986456,1.1955893519776267e-05,7.596042435026752e-06,0.0,0.0,0.0,4.852387790099073e-08,0.0,0.0,0.0,0.0,0.0,0.0034366253849620614,0.0,0.0,0.0,3.522640867207735e-07,0.11153987049169765,7.41,4.0,-0.01954433619957996,0.2624305173303547,1,1,i_soln,-99,25.0,-99.0
CaB-58(s),Noireaux,Calcite,129.63,2.59,-12.9,1.9,-7.34,,mol/m2/sec,True,25,0.00579,3.69e-05,0.1,0.0106,0.0,0.1,-0.8,0.4,0.1,9.39,129.6+/-2.6,-12.9+/-1.9,-7.34+/-nan,-0.8+/-0.4,0.017177814819608048,0.0058282047641895615,0.010669943091946351,3.7143481145542455e-05,0.10065984048715546,0.0,0.0,0.10065984048763758,0.0,-99.0,0.0019591985415225344,0.003864335060970501,8.486071132128278e-07,2.779019438258365e-08,6.197497278712731e-06,0.0026138776528136748,2.0141795793576133e-06,0.0,0.0,0.0,5.177706742532231e-10,0.0,0.0,0.0,0.0,0.0,0.008049867941853963,0.0,0.0,0.0,3.2938661845569664e-05,0.1119329124587188,9.39,4.0,0.2005072483520962,0.4824821018820309,1,1,i_soln,-99,25.0,-99.0
CaB-69(s),Noireaux,Calcite,111.11,2.22,-14.8,0.2,-9.09,,mol/m2/sec,True,25,0.0156,0.000582,0.1,0.00231,0.0,0.1,-0.8,0.4,0.1,8.38,111.1+/-2.2,-14.80+/-0.20,-9.09+/-nan,-0.8+/-0.4,0.004941022851644941,0.015696963229226736,0.0023243580166426698,0.0005856174743271725,0.10062155916183049,0.0,0.0,0.10062155916194908,0.0,-99.0,0.01308486956861049,0.002514191332359867,2.4758842400300516e-05,5.123012015222556e-07,1.791799616916259e-05,6.98237245462882e-05,2.1576596249390273e-05,0.0,0.0,0.0,5.170007637877993e-09,0.0,0.0,0.0,0.0,0.0,0.002236616295927219,0.0,0.0,0.0,3.21290322018094e-06,0.10429049353942814,8.38,4.0,-0.13276735425347397,0.1492074992764607,1,1,i_soln,-99,25.0,-99.0
CaB-7(s),Noireaux,Calcite,287.03,5.74,-17.5,0.8,-7.33,,mol/m2/sec,True,25,0.0164,0.00324,0.1,0.00461,0.0,0.1,-0.8,0.4,0.11,7.53,287+/-6,-17.5+/-0.8,-7.33+/-nan,-0.8+/-0.4,0.004882168389520178,0.016506179653114333,0.004639846841518344,0.003260976955867487,0.10064743690924115,0.0,0.0,0.10064743690928864,0.0,-99.0,0.016025086765964314,0.0004401458212319334,6.5049623124374765e-06,2.3860557826469835e-08,0.00024604231233686733,1.9903624959254383e-05,2.1336736749468677e-05,0.0,0.0,0.0,3.677757530355063e-08,0.0,0.0,0.0,0.0,0.0,0.004373900904222222,0.0,0.0,0.0,4.6177154525814613e-07,0.10958776580530584,7.53,4.0,0.06035096731750755,0.34232582084744223,1,1,i_soln,-99,25.0,-99.0
CaB-70,Noireaux,Calcite,361.1,7.22,-14.8,0.2,-7.24,,mol/m2/sec,False,25,0.0164,0.00175,0.1,0.0017399999999999998,0.0,0.1,-0.8,0.4,0.1,8.3,361+/-7,-14.80+/-0.20,-7.24+/-nan,-0.8+/-0.4,0.0041305114667407935,0.016502279100022398,0.0017508515630546841,0.0017609139283703522,0.10062365304897651,0.0,0.0,0.10062365304911991,0.0,-99.0,0.014100638768243018,0.0022638597663628547,2.5886333965865778e-05,4.831697739483443e-07,1.6240453374147876e-05,4.431432374709012e-05,5.818888442313702e-05,0.0,0.0,0.0,6.212545913781174e-09,0.0,0.0,0.0,0.0,0.0,0.0016902967859334461,0.0,0.0,0.0,2.690921559326957e-06,0.10613916257624142,8.3,4.0,0.1433022777063222,0.4252771312362569,1,1,i_soln,-99,25.0,-99.0
